City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
220,Tadpatri,IN,2021-04-16 23:06:03,14.9167,78.0167,82.54,60,3,8.68
221,Vanimo,PG,2021-04-16 23:06:03,-2.6741,141.3028,75.87,93,100,0.78
222,Cam Ranh,VN,2021-04-16 23:06:04,11.9214,109.1591,75.2,94,20,1.14
223,Ipixuna,BR,2021-04-16 23:06:04,-1.7625,-48.8043,75.2,100,75,5.75
224,Bengkulu,ID,2021-04-16 23:06:04,-3.8004,102.2655,74.84,90,99,3.22
225,Bandarbeyla,SO,2021-04-16 23:06:05,9.4942,50.8122,80.13,73,12,5.57
226,Sinnamary,GF,2021-04-16 23:06:05,5.3833,-52.95,78.12,82,80,11.23
227,Rehoboth,NA,2021-04-16 23:06:05,-23.3167,17.0833,64.29,38,48,5.44
228,Huty,UA,2021-04-16 23:06:06,50.1332,35.3439,41.68,87,98,6.17
229,Stykkisholmur,IS,2021-04-16 23:06:06,65.0757,-22.7297,36.84,74,87,30.24
230,Axim,GH,2021-04-16 23:03:13,4.8699,-2.2405,81.0,81,72,7.63
231,Fayaoue,NC,2021-04-16 23:06:07,-20.65,166.5333,78.12,81,72,16.37
232,Pangnirtung,CA,2021-04-16 23:06:07,66.1451,-65.7125,3.2,78,20,10.36
233,Riacho De Santana,BR,2021-04-16 23:06:08,-13.6092,-42.9389,74.53,38,35,6.31
234,Macenta,GN,2021-04-16 23:03:06,8.5435,-9.471,70.25,97,96,2.01
235,Acarau,BR,2021-04-16 23:06:08,-2.8856,-40.12,79.83,82,99,14.63
236,Kukmor,RU,2021-04-16 23:06:09,56.1855,50.8944,36.66,71,14,7.4
237,Pemangkat,ID,2021-04-16 23:04:04,1.1667,108.9667,76.21,89,99,4.05
238,Labytnangi,RU,2021-04-16 23:06:09,66.6572,66.4183,1.67,93,84,4.36
239,Katsuura,JP,2021-04-16 23:06:10,35.1333,140.3,61.0,76,100,15.32
240,Nusaybin,TR,2021-04-16 23:06:10,37.0778,41.2178,61.7,43,96,4.9
241,Acajutla,SV,2021-04-16 23:06:10,13.5928,-89.8275,79.0,79,97,7.0
242,Chunskiy,RU,2021-04-16 23:06:11,56.0815,99.6342,32.61,97,100,6.6
243,Verkhoyansk,RU,2021-04-16 23:06:11,67.5447,133.385,21.78,78,100,9.37
244,Areosa,PT,2021-04-16 23:06:12,41.7178,-8.8571,59.0,87,0,5.12
245,Necochea,AR,2021-04-16 23:06:12,-38.5473,-58.7368,60.01,93,75,1.01
246,Luderitz,NA,2021-04-16 23:06:12,-26.6481,15.1594,73.87,46,100,4.85
247,Avera,US,2021-04-16 23:06:13,33.194,-82.5271,64.4,48,1,4.61
248,Qiongshan,CN,2021-04-16 23:06:13,20.0058,110.3542,75.2,100,75,2.24
249,Bantry,IE,2021-04-16 23:06:14,51.6833,-9.45,44.6,81,75,9.22
250,Port Hedland,AU,2021-04-16 23:06:14,-20.3167,118.5667,80.6,47,0,12.66
251,Shitanjing,CN,2021-04-16 23:06:15,39.2342,106.3439,35.17,30,0,5.55
252,Alihe,CN,2021-04-16 23:06:15,50.5667,123.7167,33.26,59,10,3.29
253,Longkou,CN,2021-04-16 23:06:16,37.6508,120.3286,46.38,63,1,18.57
254,Santo Tomas,PH,2021-04-16 23:06:16,14.1079,121.1414,81.0,83,40,2.3
255,Port Blair,IN,2021-04-16 23:06:16,11.6667,92.75,80.91,77,97,11.56
256,Ambilobe,MG,2021-04-16 23:06:17,-13.2,49.05,73.87,95,61,1.81
257,Jian,CN,2021-04-16 23:06:17,27.1172,114.9793,62.8,88,92,3.89
258,Haimen,CN,2021-04-16 23:06:18,23.1935,116.6142,68.0,83,75,6.71
259,Dunedin,NZ,2021-04-16 23:03:49,-45.8742,170.5036,54.0,54,10,10.0
260,Narsaq,GL,2021-04-16 23:03:10,60.9167,-46.05,19.4,38,7,24.16
261,Sabang,ID,2021-04-16 23:06:18,5.8933,95.3214,83.3,68,100,15.55
262,Tasiilaq,GL,2021-04-16 23:06:19,65.6145,-37.6368,26.6,93,75,36.82
263,Davila,PH,2021-04-16 23:06:19,18.4726,120.5763,75.2,88,75,1.14
264,Caravelas,BR,2021-04-16 23:06:20,-17.7125,-39.2481,75.22,76,8,7.49
265,Richards Bay,ZA,2021-04-16 23:06:20,-28.783,32.0377,62.56,79,88,7.38
266,Tuktoyaktuk,CA,2021-04-16 23:03:14,69.4541,-133.0374,21.2,79,90,3.44
267,Banda Aceh,ID,2021-04-16 23:06:20,5.5577,95.3222,79.9,77,100,10.29
268,Chuy,UY,2021-04-16 23:06:21,-33.6971,-53.4616,68.11,87,97,5.12
269,Abu Samrah,SY,2021-04-16 23:06:21,35.3029,37.1841,64.74,42,16,5.23
270,Alyangula,AU,2021-04-16 23:06:22,-13.8483,136.4192,77.0,100,29,2.3
271,Portland,US,2021-04-16 23:03:32,45.5234,-122.6762,80.01,15,1,17.27
272,Abu Kamal,SY,2021-04-16 23:06:22,34.4506,40.9171,72.75,22,100,6.42
273,Nemuro,JP,2021-04-16 23:06:23,43.3236,145.575,41.23,83,93,20.02
274,Dingle,PH,2021-04-16 23:06:23,10.9995,122.6711,78.26,85,90,5.23
275,Lopukhiv,UA,2021-04-16 23:06:23,48.3653,23.9638,32.97,98,100,4.5
276,Urumqi,CN,2021-04-16 23:06:24,43.801,87.6005,57.2,17,0,11.18
277,Boshnyakovo,RU,2021-04-16 23:06:24,49.6333,142.1667,43.25,62,52,10.6
278,Jinchang,CN,2021-04-16 23:06:25,38.4953,102.1739,38.07,25,17,2.59
279,Namtsy,RU,2021-04-16 23:06:25,62.7161,129.6658,32.0,86,75,15.66
280,Mulanur,IN,2021-04-16 23:06:25,10.7667,77.7167,77.31,77,67,2.42
281,Krasnoselkup,RU,2021-04-16 23:06:26,65.7,82.4667,3.7,95,100,8.41
282,Akdepe,TM,2021-04-16 23:06:26,42.0551,59.3788,60.8,41,0,6.91
283,Chatham,GB,2021-04-16 23:06:27,51.3789,0.5279,44.01,86,2,6.38
284,Sept-Iles,CA,2021-04-16 23:06:27,50.2001,-66.3821,35.6,69,40,12.66
285,Bonthe,SL,2021-04-16 23:06:27,7.5264,-12.505,80.37,81,55,5.79
286,Ilulissat,GL,2021-04-16 23:06:28,69.2167,-51.1,6.8,72,90,14.97
287,Itoman,JP,2021-04-16 23:06:28,26.1247,127.6694,75.2,83,75,12.66
288,Vila Velha,BR,2021-04-16 23:04:41,-20.3297,-40.2925,75.2,78,20,11.5
289,Harper,LR,2021-04-16 23:06:29,4.375,-7.7169,80.65,80,65,7.47
290,Palmerston North,NZ,2021-04-16 23:06:29,-40.35,175.6167,57.0,78,82,1.99
291,Esperance,AU,2021-04-16 23:06:30,-33.8667,121.9,51.8,87,92,10.36
292,Damghan,IR,2021-04-16 23:06:30,36.1683,54.348,56.64,56,26,1.19
293,Kemijarvi,FI,2021-04-16 23:06:31,66.7131,27.4306,31.1,94,8,4.34
