City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
282,Gornopravdinsk,RU,60.05,69.9,23.79,95,15,5.26,few clouds
283,San Quintin,MX,30.4833,-115.95,64.63,65,20,13.91,few clouds
284,Sept-Iles,CA,50.2001,-66.3821,41.0,87,100,8.05,overcast clouds
285,Tortoli,IT,39.9256,9.6572,55.4,82,20,5.75,few clouds
286,Valdivia,CL,-39.8142,-73.2459,53.6,100,90,5.75,overcast clouds
287,Vestmannaeyjar,IS,63.4427,-20.2734,39.97,68,22,7.92,few clouds
288,Mporokoso,ZM,-9.3727,30.125,60.84,89,100,7.85,overcast clouds
289,Kodinsk,RU,58.6881,99.1844,11.88,97,98,2.24,overcast clouds
290,Ambilobe,MG,-13.2,49.05,71.22,97,94,4.36,moderate rain
291,Rabo De Peixe,PT,37.8,-25.5833,62.6,94,75,10.36,broken clouds
292,Sedona,US,34.8697,-111.761,77.0,9,1,21.85,clear sky
293,Wanning,CN,18.8003,110.3967,77.32,83,84,8.23,broken clouds
294,Merrill,US,45.1805,-89.6835,39.0,48,90,9.22,overcast clouds
295,Alice Springs,AU,-23.7,133.8833,53.6,47,0,3.44,clear sky
296,Valley City,US,46.9233,-98.0032,33.8,37,90,13.8,overcast clouds
297,Longyearbyen,SJ,78.2186,15.6401,26.6,68,75,6.91,broken clouds
298,Lavrentiya,RU,65.5833,-171.0,30.11,69,99,6.78,overcast clouds
299,Coihaique,CL,-45.5752,-72.0662,50.0,66,90,5.75,overcast clouds
300,Smithers,CA,54.7804,-127.1743,64.4,20,20,11.5,few clouds
301,Luan,CH,46.3592,6.9759,50.0,46,40,2.3,scattered clouds
302,Dolores,AR,-36.3132,-57.6792,64.54,82,9,12.73,clear sky
303,Mangrol,IN,21.1167,70.1167,79.54,82,100,11.1,overcast clouds
304,Gympie,AU,-26.1898,152.665,72.0,76,0,5.17,clear sky
305,Aswan,EG,24.0934,32.907,87.1,25,31,10.69,scattered clouds
306,Havre-Saint-Pierre,CA,50.2334,-63.5986,41.0,81,90,8.05,overcast clouds
307,Victor Harbor,AU,-35.5667,138.6167,53.01,75,60,5.12,broken clouds
308,Yar-Sale,RU,66.8333,70.8333,8.6,99,98,6.29,overcast clouds
309,Talcahuano,CL,-36.7167,-73.1167,57.2,94,90,2.3,overcast clouds
310,Zapolyarnyy,RU,69.4154,30.8136,42.8,52,0,16.11,clear sky
311,Necochea,AR,-38.5473,-58.7368,66.0,74,0,5.99,clear sky
312,Portland,US,45.5234,-122.6762,75.0,17,20,12.66,few clouds
313,Kampot,KH,10.6167,104.1833,80.6,83,20,2.3,few clouds
314,Hohhot,CN,40.8106,111.6522,51.8,62,0,4.47,clear sky
315,Oktyabrskoye,RU,43.0645,44.7417,57.2,94,100,2.24,overcast clouds
316,Hauterive,FR,46.0901,3.4459,48.2,93,75,2.3,broken clouds
317,Bandarbeyla,SO,9.4942,50.8122,81.21,78,99,3.78,overcast clouds
318,Aykhal,RU,66.0,111.5,6.62,95,84,2.35,broken clouds
319,Velizh,RU,55.6056,31.1967,34.88,94,71,2.51,broken clouds
320,Vardo,NO,70.3705,31.1107,44.6,53,0,8.05,clear sky
321,Laon,FR,49.5667,3.6667,42.8,81,0,3.44,clear sky
322,Dannenberg,DE,53.0967,11.09,44.01,60,0,1.01,clear sky
323,Leshukonskoye,RU,64.8989,45.7622,32.43,83,4,4.36,clear sky
324,Ust-Tsilma,RU,65.441,52.1498,29.01,95,10,3.18,clear sky
325,Yulara,AU,-25.2406,130.9889,50.0,62,0,5.75,clear sky
326,Roald,NO,62.5833,6.1333,37.4,93,20,8.05,few clouds
327,Waingapu,ID,-9.6567,120.2641,73.62,73,17,6.31,few clouds
328,Bafra,TR,41.5678,35.9069,53.6,76,75,4.61,broken clouds
329,Sri Aman,MY,1.2376,111.4621,71.6,100,71,0.67,broken clouds
330,Svetlyy,RU,54.675,20.1347,42.01,87,0,6.71,clear sky
331,Cariamanga,EC,-4.3333,-79.55,56.21,93,99,2.73,moderate rain
332,Pacific Grove,US,36.6177,-121.9166,55.99,71,90,17.27,overcast clouds
333,Bambous Virieux,MU,-20.3428,57.7575,78.8,83,75,10.36,light rain
334,Inirida,CO,3.8653,-67.9239,78.13,78,69,3.0,broken clouds
335,San Cristobal,VE,7.7669,-72.225,86.0,62,40,8.05,scattered clouds
336,Adre,TD,13.4667,22.2,79.88,9,8,8.08,clear sky
337,Hailar,CN,49.2,119.7,51.91,40,72,14.03,broken clouds
338,Makaha,US,21.4694,-158.2175,82.4,61,90,10.36,light rain
339,Gaya,IN,24.7833,85.0,82.63,16,64,5.5,broken clouds
340,Yangambi,CD,0.8102,24.4336,68.13,99,95,1.61,overcast clouds
341,Ostersund,SE,63.1792,14.6357,44.6,49,66,8.05,broken clouds
342,Ponta Do Sol,PT,32.6667,-17.1,60.01,65,89,4.0,overcast clouds
343,Cockburn Town,TC,21.4612,-71.1419,80.6,74,40,13.8,scattered clouds
344,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,37.4,100,90,4.47,light snow
345,Kibala,TD,9.1104,18.3463,87.8,48,20,5.64,few clouds
346,Karwar,IN,14.8,74.1333,79.77,74,44,4.16,scattered clouds
